"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","HUR","TOT","PC_LF","M","2020-08",6.3,
"DNK","HUR","TOT","PC_LF","M","2020-09",6,
"DNK","HUR","TOT","PC_LF","M","2020-10",5.8,
"FIN","HUR","TOT","PC_LF","M","2020-01",6.9,
"FIN","HUR","TOT","PC_LF","M","2020-02",6.5,
"FIN","HUR","TOT","PC_LF","M","2020-03",6.7,
"FIN","HUR","TOT","PC_LF","M","2020-04",7.3,
"FIN","HUR","TOT","PC_LF","M","2020-05",8,
"FIN","HUR","TOT","PC_LF","M","2020-06",7.9,
"FIN","HUR","TOT","PC_LF","M","2020-07",8.6,
"FIN","HUR","TOT","PC_LF","M","2020-08",8.5,
"FIN","HUR","TOT","PC_LF","M","2020-09",8.3,
"FIN","HUR","TOT","PC_LF","M","2020-10",8.3,
"FRA","HUR","TOT","PC_LF","M","2020-01",7.7,
"FRA","HUR","TOT","PC_LF","M","2020-02",7.5,
"FRA","HUR","TOT","PC_LF","M","2020-03",8,
"FRA","HUR","TOT","PC_LF","M","2020-04",7.3,
"FRA","HUR","TOT","PC_LF","M","2020-05",7.2,
"FRA","HUR","TOT","PC_LF","M","2020-06",6.9,
"FRA","HUR","TOT","PC_LF","M","2020-07",9.4,
"FRA","HUR","TOT","PC_LF","M","2020-08",9,
"FRA","HUR","TOT","PC_LF","M","2020-09",8.8,
"FRA","HUR","TOT","PC_LF","M","2020-10",8.6,
"DEU","HUR","TOT","PC_LF","M","2020-01",3.4,
"DEU","HUR","TOT","PC_LF","M","2020-02",3.6,
"DEU","HUR","TOT","PC_LF","M","2020-03",3.8,
"DEU","HUR","TOT","PC_LF","M","2020-04",4,
"DEU","HUR","TOT","PC_LF","M","2020-05",4.2,
"DEU","HUR","TOT","PC_LF","M","2020-06",4.3,
"DEU","HUR","TOT","PC_LF","M","2020-07",4.4,
"DEU","HUR","TOT","PC_LF","M","2020-08",4.5,
"DEU","HUR","TOT","PC_LF","M","2020-09",4.5,
"DEU","HUR","TOT","PC_LF","M","2020-10",4.5,
"GRC","HUR","TOT","PC_LF","M","2020-01",16.1,
"GRC","HUR","TOT","PC_LF","M","2020-02",15.9,
"GRC","HUR","TOT","PC_LF","M","2020-03",15.6,
"GRC","HUR","TOT","PC_LF","M","2020-04",15.7,
"GRC","HUR","TOT","PC_LF","M","2020-05",17.7,
"GRC","HUR","TOT","PC_LF","M","2020-06",17.5,
"GRC","HUR","TOT","PC_LF","M","2020-07",17,
"GRC","HUR","TOT","PC_LF","M","2020-08",16.8,
"HUN","HUR","TOT","PC_LF","M","2020-01",3.4,
"HUN","HUR","TOT","PC_LF","M","2020-02",3.6,
"HUN","HUR","TOT","PC_LF","M","2020-03",3.7,
"HUN","HUR","TOT","PC_LF","M","2020-04",4.1,
"HUN","HUR","TOT","PC_LF","M","2020-05",4.8,
"HUN","HUR","TOT","PC_LF","M","2020-06",4.9,
"HUN","HUR","TOT","PC_LF","M","2020-07",4.6,
"HUN","HUR","TOT","PC_LF","M","2020-08",4.4,
"HUN","HUR","TOT","PC_LF","M","2020-09",4.4,
"ISL","HUR","TOT","PC_LF","M","2020-01",4.1,
"ISL","HUR","TOT","PC_LF","M","2020-02",4.2,
"ISL","HUR","TOT","PC_LF","M","2020-03",4.4,
"ISL","HUR","TOT","PC_LF","M","2020-04",4.6,
"ISL","HUR","TOT","PC_LF","M","2020-05",4.8,
"ISL","HUR","TOT","PC_LF","M","2020-06",4.9,
"ISL","HUR","TOT","PC_LF","M","2020-07",5.1,
"ISL","HUR","TOT","PC_LF","M","2020-08",5.2,
"ISL","HUR","TOT","PC_LF","M","2020-09",5.3,
"ISL","HUR","TOT","PC_LF","M","2020-10",5.4,
"IRL","HUR","TOT","PC_LF","M","2020-01",4.9,
"IRL","HUR","TOT","PC_LF","M","2020-02",4.9,
"IRL","HUR","TOT","PC_LF","M","2020-03",5,
"IRL","HUR","TOT","PC_LF","M","2020-04",4.6,
"IRL","HUR","TOT","PC_LF","M","2020-05",4.7,
"IRL","HUR","TOT","PC_LF","M","2020-06",5.2,
"IRL","HUR","TOT","PC_LF","M","2020-07",6.2,
"IRL","HUR","TOT","PC_LF","M","2020-08",6.7,
"IRL","HUR","TOT","PC_LF","M","2020-09",7.3,
"IRL","HUR","TOT","PC_LF","M","2020-10",7.3,
"ITA","HUR","TOT","PC_LF","M","2020-01",9.6,
"ITA","HUR","TOT","PC_LF","M","2020-02",9.4,
"ITA","HUR","TOT","PC_LF","M","2020-03",8.5,
"ITA","HUR","TOT","PC_LF","M","2020-04",7.4,
"ITA","HUR","TOT","PC_LF","M","2020-05",8.7,
"ITA","HUR","TOT","PC_LF","M","2020-06",9.4,
"ITA","HUR","TOT","PC_LF","M","2020-07",9.9,
"ITA","HUR","TOT","PC_LF","M","2020-08",9.8,
"ITA","HUR","TOT","PC_LF","M","2020-09",9.7,
"ITA","HUR","TOT","PC_LF","M","2020-10",9.8,
"JPN","HUR","TOT","PC_LF","M","2020-01",2.4,
"JPN","HUR","TOT","PC_LF","M","2020-02",2.4,
"JPN","HUR","TOT","PC_LF","M","2020-03",2.5,
"JPN","HUR","TOT","PC_LF","M","2020-04",2.6,
"JPN","HUR","TOT","PC_LF","M","2020-05",2.9,
"JPN","HUR","TOT","PC_LF","M","2020-06",2.8,
"JPN","HUR","TOT","PC_LF","M","2020-07",2.9,
"JPN","HUR","TOT","PC_LF","M","2020-08",3,
"JPN","HUR","TOT","PC_LF","M","2020-09",3,
"JPN","HUR","TOT","PC_LF","M","2020-10",3.1,
"KOR","HUR","TOT","PC_LF","M","2020-01",4,
"KOR","HUR","TOT","PC_LF","M","2020-02",3.3,
"KOR","HUR","TOT","PC_LF","M","2020-03",3.8,
"KOR","HUR","TOT","PC_LF","M","2020-04",3.8,
"KOR","HUR","TOT","PC_LF","M","2020-05",4.5,
"KOR","HUR","TOT","PC_LF","M","2020-06",4.3,
"KOR","HUR","TOT","PC_LF","M","2020-07",4.2,
"KOR","HUR","TOT","PC_LF","M","2020-08",3.2,
"KOR","HUR","TOT","PC_LF","M","2020-09",3.9,
"KOR","HUR","TOT","PC_LF","M","2020-10",4.2,
"LUX","HUR","TOT","PC_LF","M","2020-01",5.7,
"LUX","HUR","TOT","PC_LF","M","2020-02",5.7,
"LUX","HUR","TOT","PC_LF","M","2020-03",6.5,
"LUX","HUR","TOT","PC_LF","M","2020-04",7.4,
"LUX","HUR","TOT","PC_LF","M","2020-05",7.6,
"LUX","HUR","TOT","PC_LF","M","2020-06",7.6,
"LUX","HUR","TOT","PC_LF","M","2020-07",7.2,
"LUX","HUR","TOT","PC_LF","M","2020-08",6.8,
"LUX","HUR","TOT","PC_LF","M","2020-09",6.7,
"LUX","HUR","TOT","PC_LF","M","2020-10",6.5,
"MEX","HUR","TOT","PC_LF","M","2020-01",3.579905,
"MEX","HUR","TOT","PC_LF","M","2020-02",3.566667,
"MEX","HUR","TOT","PC_LF","M","2020-03",3.253436,"B"
"MEX","HUR","TOT","PC_LF","M","2020-04",4.807087,
"MEX","HUR","TOT","PC_LF","M","2020-05",4.309348,
"MEX","HUR","TOT","PC_LF","M","2020-06",5.505055,"B"
"MEX","HUR","TOT","PC_LF","M","2020-07",5.156418,
"MEX","HUR","TOT","PC_LF","M","2020-08",4.960909,
"MEX","HUR","TOT","PC_LF","M","2020-09",4.693516,
"MEX","HUR","TOT","PC_LF","M","2020-10",4.589718,
"NLD","HUR","TOT","PC_LF","M","2020-01",3,
"NLD","HUR","TOT","PC_LF","M","2020-02",2.9,
"NLD","HUR","TOT","PC_LF","M","2020-03",2.9,
"NLD","HUR","TOT","PC_LF","M","2020-04",3.4,
"NLD","HUR","TOT","PC_LF","M","2020-05",3.6,
"NLD","HUR","TOT","PC_LF","M","2020-06",4.3,
"NLD","HUR","TOT","PC_LF","M","2020-07",4.5,
"NLD","HUR","TOT","PC_LF","M","2020-08",4.6,
"NLD","HUR","TOT","PC_LF","M","2020-09",4.4,
"NLD","HUR","TOT","PC_LF","M","2020-10",4.3,
"NOR","HUR","TOT","PC_LF","M","2020-01",3.7,
"NOR","HUR","TOT","PC_LF","M","2020-02",3.5,
"NOR","HUR","TOT","PC_LF","M","2020-03",3.6,
"NOR","HUR","TOT","PC_LF","M","2020-04",4.1,
"NOR","HUR","TOT","PC_LF","M","2020-05",4.6,
"NOR","HUR","TOT","PC_LF","M","2020-06",5.2,
"NOR","HUR","TOT","PC_LF","M","2020-07",5.2,
"NOR","HUR","TOT","PC_LF","M","2020-08",5.3,
"NOR","HUR","TOT","PC_LF","M","2020-09",5.2,
"POL","HUR","TOT","PC_LF","M","2020-01",3,
"POL","HUR","TOT","PC_LF","M","2020-02",3,
"POL","HUR","TOT","PC_LF","M","2020-03",3,
"POL","HUR","TOT","PC_LF","M","2020-04",3.1,
"POL","HUR","TOT","PC_LF","M","2020-05",3.3,
"POL","HUR","TOT","PC_LF","M","2020-06",3.4,
"POL","HUR","TOT","PC_LF","M","2020-07",3.4,
"POL","HUR","TOT","PC_LF","M","2020-08",3.4,
"POL","HUR","TOT","PC_LF","M","2020-09",3.4,
"POL","HUR","TOT","PC_LF","M","2020-10",3.5,
"PRT","HUR","TOT","PC_LF","M","2020-01",6.8,
"PRT","HUR","TOT","PC_LF","M","2020-02",6.4,
"PRT","HUR","TOT","PC_LF","M","2020-03",6.2,
"PRT","HUR","TOT","PC_LF","M","2020-04",6.3,
"PRT","HUR","TOT","PC_LF","M","2020-05",5.9,
"PRT","HUR","TOT","PC_LF","M","2020-06",7.3,
"PRT","HUR","TOT","PC_LF","M","2020-07",7.9,
"PRT","HUR","TOT","PC_LF","M","2020-08",8.1,
"PRT","HUR","TOT","PC_LF","M","2020-09",7.9,
"PRT","HUR","TOT","PC_LF","M","2020-10",7.5,
"SVK","HUR","TOT","PC_LF","M","2020-01",5.9,
"SVK","HUR","TOT","PC_LF","M","2020-02",6,
"SVK","HUR","TOT","PC_LF","M","2020-03",6,
"SVK","HUR","TOT","PC_LF","M","2020-04",6.7,
"SVK","HUR","TOT","PC_LF","M","2020-05",6.8,
"SVK","HUR","TOT","PC_LF","M","2020-06",6.7,
"SVK","HUR","TOT","PC_LF","M","2020-07",6.8,
"SVK","HUR","TOT","PC_LF","M","2020-08",6.9,
"SVK","HUR","TOT","PC_LF","M","2020-09",6.8,
"SVK","HUR","TOT","PC_LF","M","2020-10",7,
"ESP","HUR","TOT","PC_LF","M","2020-01",13.5,
"ESP","HUR","TOT","PC_LF","M","2020-02",13.5,
"ESP","HUR","TOT","PC_LF","M","2020-03",14.9,
"ESP","HUR","TOT","PC_LF","M","2020-04",15,
"ESP","HUR","TOT","PC_LF","M","2020-05",15.6,
"ESP","HUR","TOT","PC_LF","M","2020-06",15.9,
"ESP","HUR","TOT","PC_LF","M","2020-07",16.9,
"ESP","HUR","TOT","PC_LF","M","2020-08",16.6,
"ESP","HUR","TOT","PC_LF","M","2020-09",16.3,
"ESP","HUR","TOT","PC_LF","M","2020-10",16.2,
"SWE","HUR","TOT","PC_LF","M","2020-01",7.2,
"SWE","HUR","TOT","PC_LF","M","2020-02",7.6,
"SWE","HUR","TOT","PC_LF","M","2020-03",6.8,
"SWE","HUR","TOT","PC_LF","M","2020-04",7.9,
"SWE","HUR","TOT","PC_LF","M","2020-05",8.4,
"SWE","HUR","TOT","PC_LF","M","2020-06",9.2,
"SWE","HUR","TOT","PC_LF","M","2020-07",9.1,
"SWE","HUR","TOT","PC_LF","M","2020-08",9.1,
"SWE","HUR","TOT","PC_LF","M","2020-09",8.9,
"SWE","HUR","TOT","PC_LF","M","2020-10",8.6,
"TUR","HUR","TOT","PC_LF","M","2020-01",12.6,
"TUR","HUR","TOT","PC_LF","M","2020-02",12.6,
"TUR","HUR","TOT","PC_LF","M","2020-03",12.9,
"TUR","HUR","TOT","PC_LF","M","2020-04",13.6,
"TUR","HUR","TOT","PC_LF","M","2020-05",14,
"TUR","HUR","TOT","PC_LF","M","2020-06",14.3,
"TUR","HUR","TOT","PC_LF","M","2020-07",13.8,
"TUR","HUR","TOT","PC_LF","M","2020-08",13.3,
"GBR","HUR","TOT","PC_LF","M","2020-01",3.9,
"GBR","HUR","TOT","PC_LF","M","2020-02",3.9,
"GBR","HUR","TOT","PC_LF","M","2020-03",3.8,
"GBR","HUR","TOT","PC_LF","M","2020-04",3.7,
"GBR","HUR","TOT","PC_LF","M","2020-05",3.7,
"GBR","HUR","TOT","PC_LF","M","2020-06",3.9,
"GBR","HUR","TOT","PC_LF","M","2020-07",4.3,
"GBR","HUR","TOT","PC_LF","M","2020-08",4.6,
"USA","HUR","TOT","PC_LF","M","2020-01",3.6,
"USA","HUR","TOT","PC_LF","M","2020-02",3.5,
"USA","HUR","TOT","PC_LF","M","2020-03",4.4,
"USA","HUR","TOT","PC_LF","M","2020-04",14.7,
"USA","HUR","TOT","PC_LF","M","2020-05",13.3,
"USA","HUR","TOT","PC_LF","M","2020-06",11.1,
"USA","HUR","TOT","PC_LF","M","2020-07",10.2,
"USA","HUR","TOT","PC_LF","M","2020-08",8.4,
"USA","HUR","TOT","PC_LF","M","2020-09",7.9,
"USA","HUR","TOT","PC_LF","M","2020-10",6.9,
"CHL","HUR","TOT","PC_LF","M","2020-01",8.107676,
"CHL","HUR","TOT","PC_LF","M","2020-02",8.184627,
"CHL","HUR","TOT","PC_LF","M","2020-03",9.063102,
"CHL","HUR","TOT","PC_LF","M","2020-04",10.887,
"CHL","HUR","TOT","PC_LF","M","2020-05",11.75774,
"CHL","HUR","TOT","PC_LF","M","2020-06",12.32086,
"CHL","HUR","TOT","PC_LF","M","2020-07",12.2765,
"CHL","HUR","TOT","PC_LF","M","2020-08",11.96223,
"CHL","HUR","TOT","PC_LF","M","2020-09",11.52056,
"EST","HUR","TOT","PC_LF","M","2020-01",4.7,
"EST","HUR","TOT","PC_LF","M","2020-02",4.7,
"EST","HUR","TOT","PC_LF","M","2020-03",4.8,
"EST","HUR","TOT","PC_LF","M","2020-04",6,
"EST","HUR","TOT","PC_LF","M","2020-05",7,
"EST","HUR","TOT","PC_LF","M","2020-06",8,
"EST","HUR","TOT","PC_LF","M","2020-07",7.8,
"EST","HUR","TOT","PC_LF","M","2020-08",8,
"EST","HUR","TOT","PC_LF","M","2020-09",8.1,
"ISR","HUR","TOT","PC_LF","M","2020-01",3.612252,
"ISR","HUR","TOT","PC_LF","M","2020-02",3.40835,
"ISR","HUR","TOT","PC_LF","M","2020-03",3.587517,
"ISR","HUR","TOT","PC_LF","M","2020-04",3.655105,
"ISR","HUR","TOT","PC_LF","M","2020-05",4.260135,
"ISR","HUR","TOT","PC_LF","M","2020-06",4.645301,
"ISR","HUR","TOT","PC_LF","M","2020-07",4.685457,
"ISR","HUR","TOT","PC_LF","M","2020-08",4.887446,
"ISR","HUR","TOT","PC_LF","M","2020-09",4.644665,
"ISR","HUR","TOT","PC_LF","M","2020-10",4.711226,
"SVN","HUR","TOT","PC_LF","M","2020-01",4.1,
"SVN","HUR","TOT","PC_LF","M","2020-02",4.2,
"SVN","HUR","TOT","PC_LF","M","2020-03",4.5,
"SVN","HUR","TOT","PC_LF","M","2020-04",5.4,
"SVN","HUR","TOT","PC_LF","M","2020-05",5.5,
"SVN","HUR","TOT","PC_LF","M","2020-06",5.3,
"SVN","HUR","TOT","PC_LF","M","2020-07",4.8,
"SVN","HUR","TOT","PC_LF","M","2020-08",4.7,
"SVN","HUR","TOT","PC_LF","M","2020-09",4.7,
"SVN","HUR","TOT","PC_LF","M","2020-10",4.9,
"EU28","HUR","TOT","PC_LF","M","2020-01",6.2,
"OECD","HUR","TOT","PC_LF","M","2020-01",5.267261,"E"
"OECD","HUR","TOT","PC_LF","M","2020-02",5.211413,"E"
"OECD","HUR","TOT","PC_LF","M","2020-03",5.58952,"E"
"OECD","HUR","TOT","PC_LF","M","2020-04",8.747764,"E"
"OECD","HUR","TOT","PC_LF","M","2020-05",8.680347,"E"
"OECD","HUR","TOT","PC_LF","M","2020-06",8.282507,"E"
"OECD","HUR","TOT","PC_LF","M","2020-07",8.147287,"E"
"OECD","HUR","TOT","PC_LF","M","2020-08",7.524984,"E"
"OECD","HUR","TOT","PC_LF","M","2020-09",7.33025,"E"
"G-7","HUR","TOT","PC_LF","M","2020-01",4.188101,"E"
"G-7","HUR","TOT","PC_LF","M","2020-02",4.162117,"E"
"G-7","HUR","TOT","PC_LF","M","2020-03",4.652221,"E"
"G-7","HUR","TOT","PC_LF","M","2020-04",9.130074,"E"
"G-7","HUR","TOT","PC_LF","M","2020-05",8.724729,"E"
"G-7","HUR","TOT","PC_LF","M","2020-06",7.81353,"E"
"G-7","HUR","TOT","PC_LF","M","2020-07",7.648885,"E"
"G-7","HUR","TOT","PC_LF","M","2020-08",6.887187,"E"
"G-7","HUR","TOT","PC_LF","M","2020-09",6.568295,"E"
"G-7","HUR","TOT","PC_LF","M","2020-10",6.161926,"E"
"EA19","HUR","TOT","PC_LF","M","2020-01",7.3,
"EA19","HUR","TOT","PC_LF","M","2020-02",7.2,
"EA19","HUR","TOT","PC_LF","M","2020-03",7.4,
"EA19","HUR","TOT","PC_LF","M","2020-04",7.2,
"EA19","HUR","TOT","PC_LF","M","2020-05",7.7,
"EA19","HUR","TOT","PC_LF","M","2020-06",7.9,
"EA19","HUR","TOT","PC_LF","M","2020-07",8.7,
"EA19","HUR","TOT","PC_LF","M","2020-08",8.6,
"EA19","HUR","TOT","PC_LF","M","2020-09",8.5,
"EA19","HUR","TOT","PC_LF","M","2020-10",8.4,
"LVA","HUR","TOT","PC_LF","M","2020-01",7,
"LVA","HUR","TOT","PC_LF","M","2020-02",7,
"LVA","HUR","TOT","PC_LF","M","2020-03",7.3,
"LVA","HUR","TOT","PC_LF","M","2020-04",8.2,
"LVA","HUR","TOT","PC_LF","M","2020-05",8.6,
"LVA","HUR","TOT","PC_LF","M","2020-06",8.8,
"LVA","HUR","TOT","PC_LF","M","2020-07",8.8,
"LVA","HUR","TOT","PC_LF","M","2020-08",8.5,
"LVA","HUR","TOT","PC_LF","M","2020-09",8.2,
"LVA","HUR","TOT","PC_LF","M","2020-10",8,
"LTU","HUR","TOT","PC_LF","M","2020-01",6.1,
"LTU","HUR","TOT","PC_LF","M","2020-02",6.3,
"LTU","HUR","TOT","PC_LF","M","2020-03",6.6,
"LTU","HUR","TOT","PC_LF","M","2020-04",7.8,
"LTU","HUR","TOT","PC_LF","M","2020-05",8.5,
"LTU","HUR","TOT","PC_LF","M","2020-06",8.8,
"LTU","HUR","TOT","PC_LF","M","2020-07",9.6,
"LTU","HUR","TOT","PC_LF","M","2020-08",10.2,
"LTU","HUR","TOT","PC_LF","M","2020-09",10.5,
"LTU","HUR","TOT","PC_LF","M","2020-10",10.4,
"COL","HUR","TOT","PC_LF","M","2020-01",10.61066,
"COL","HUR","TOT","PC_LF","M","2020-02",10.85252,
"COL","HUR","TOT","PC_LF","M","2020-03",12.19014,
"COL","HUR","TOT","PC_LF","M","2020-04",20.23626,
"COL","HUR","TOT","PC_LF","M","2020-05",21.13438,
"COL","HUR","TOT","PC_LF","M","2020-06",20.62735,
"COL","HUR","TOT","PC_LF","M","2020-07",19.65521,
"COL","HUR","TOT","PC_LF","M","2020-08",17.19132,
"COL","HUR","TOT","PC_LF","M","2020-09",16.61172,
"EU27_2020","HUR","TOT","PC_LF","M","2020-01",6.5,
"EU27_2020","HUR","TOT","PC_LF","M","2020-02",6.5,
"EU27_2020","HUR","TOT","PC_LF","M","2020-03",6.6,
"EU27_2020","HUR","TOT","PC_LF","M","2020-04",6.6,
"EU27_2020","HUR","TOT","PC_LF","M","2020-05",7,
"EU27_2020","HUR","TOT","PC_LF","M","2020-06",7.2,
"EU27_2020","HUR","TOT","PC_LF","M","2020-07",7.8,
"EU27_2020","HUR","TOT","PC_LF","M","2020-08",7.7,
"EU27_2020","HUR","TOT","PC_LF","M","2020-09",7.6,
"EU27_2020","HUR","TOT","PC_LF","M","2020-10",7.6,
"USA","HUR","MEN","PC_LF","M","2020-01",3.6,
"USA","HUR","MEN","PC_LF","M","2020-02",3.6,
"USA","HUR","MEN","PC_LF","M","2020-03",4.4,
"USA","HUR","MEN","PC_LF","M","2020-04",13.5,
"USA","HUR","MEN","PC_LF","M","2020-05",12.2,
"USA","HUR","MEN","PC_LF","M","2020-06",10.6,
"USA","HUR","MEN","PC_LF","M","2020-07",9.8,
"USA","HUR","MEN","PC_LF","M","2020-08",8.3,
"USA","HUR","MEN","PC_LF","M","2020-09",7.7,
"USA","HUR","MEN","PC_LF","M","2020-10",7,
"AUS","HUR","MEN","PC_LF","M","2020-01",5.350914,
"AUS","HUR","MEN","PC_LF","M","2020-02",5.231085,
"AUS","HUR","MEN","PC_LF","M","2020-03",5.297134,
"AUS","HUR","MEN","PC_LF","M","2020-04",6.680489,
"AUS","HUR","MEN","PC_LF","M","2020-05",7.187739,
"AUS","HUR","MEN","PC_LF","M","2020-06",7.523157,
"AUS","HUR","MEN","PC_LF","M","2020-07",7.471879,
"AUS","HUR","MEN","PC_LF","M","2020-08",7.036308,
"AUS","HUR","MEN","PC_LF","M","2020-09",7.12687,
"AUS","HUR","MEN","PC_LF","M","2020-10",6.971511,
"CAN","HUR","MEN","PC_LF","M","2020-01",5.8,
"CAN","HUR","MEN","PC_LF","M","2020-02",5.8,
"CAN","HUR","MEN","PC_LF","M","2020-03",7.1,
"CAN","HUR","MEN","PC_LF","M","2020-04",12.6,
"CAN","HUR","MEN","PC_LF","M","2020-05",13.5,
"CAN","HUR","MEN","PC_LF","M","2020-06",12.1,
"CAN","HUR","MEN","PC_LF","M","2020-07",11.3,
"CAN","HUR","MEN","PC_LF","M","2020-08",10.7,
"CAN","HUR","MEN","PC_LF","M","2020-09",9.5,
"CAN","HUR","MEN","PC_LF","M","2020-10",9.3,
"AUS","HUR","WOMEN","PC_LF","M","2020-01",5.179362,
"AUS","HUR","WOMEN","PC_LF","M","2020-02",4.915142,
"AUS","HUR","WOMEN","PC_LF","M","2020-03",5.134177,
"AUS","HUR","WOMEN","PC_LF","M","2020-04",5.993342,
"AUS","HUR","WOMEN","PC_LF","M","2020-05",6.933723,
"AUS","HUR","WOMEN","PC_LF","M","2020-06",7.347025,
"AUS","HUR","WOMEN","PC_LF","M","2020-07",7.488235,
"AUS","HUR","WOMEN","PC_LF","M","2020-08",6.552208,
"AUS","HUR","WOMEN","PC_LF","M","2020-09",6.674665,
"AUS","HUR","WOMEN","PC_LF","M","2020-10",7.023453,
"COL","HUR","MEN","PC_LF","M","2020-01",8.512313,
"COL","HUR","MEN","PC_LF","M","2020-02",8.223355,
"COL","HUR","MEN","PC_LF","M","2020-03",9.628409,
"COL","HUR","MEN","PC_LF","M","2020-04",17.07972,
"COL","HUR","MEN","PC_LF","M","2020-05",18.04639,
"COL","HUR","MEN","PC_LF","M","2020-06",17.10301,
"COL","HUR","MEN","PC_LF","M","2020-07",15.70944,
"COL","HUR","MEN","PC_LF","M","2020-08",13.70505,
"COL","HUR","MEN","PC_LF","M","2020-09",12.85454,
"USA","HUR","WOMEN","PC_LF","M","2020-01",3.5,
"USA","HUR","WOMEN","PC_LF","M","2020-02",3.4,
"USA","HUR","WOMEN","PC_LF","M","2020-03",4.4,
"USA","HUR","WOMEN","PC_LF","M","2020-04",16.2,
"USA","HUR","WOMEN","PC_LF","M","2020-05",14.5,
"USA","HUR","WOMEN","PC_LF","M","2020-06",11.7,
"USA","HUR","WOMEN","PC_LF","M","2020-07",10.6,
"USA","HUR","WOMEN","PC_LF","M","2020-08",8.6,
"USA","HUR","WOMEN","PC_LF","M","2020-09",8,
"USA","HUR","WOMEN","PC_LF","M","2020-10",6.7,
"ISR","HUR","WOMEN","PC_LF","M","2020-01",3.764509,
"ISR","HUR","WOMEN","PC_LF","M","2020-02",3.787689,
"ISR","HUR","WOMEN","PC_LF","M","2020-03",3.444811,
"ISR","HUR","WOMEN","PC_LF","M","2020-04",3.262991,
"ISR","HUR","WOMEN","PC_LF","M","2020-05",4.027041,
"ISR","HUR","WOMEN","PC_LF","M","2020-06",4.281816,
"ISR","HUR","WOMEN","PC_LF","M","2020-07",4.406842,
